Home Zip/Postal,First Date Received,Last Date Received,# of Gifts,Avg. Contribution Amount,Total Amount
10008,12/31/23,12/31/23,1,$400.00,$400.00
100140,2/3/24,2/3/24,1,$25.00,$25.00
1004,3/29/20,3/29/20,1,$50.00,$50.00
10070,10/6/23,10/6/23,1,$5.00,$5.00
101 00,5/3/24,5/3/24,1,$5.00,$5.00
10101,3/5/24,3/5/24,1,$25.00,$25.00
10102,12/9/23,12/9/23,1,$25.00,$25.00
10103,12/24/23,12/24/23,1,$12.00,$12.00
10106,9/30/23,9/30/23,1,$80.00,$80.00
10108,8/5/23,8/5/23,1,$10.00,$10.00
10109,10/28/23,10/28/23,1,$25.00,$25.00
10110,5/3/23,5/3/23,1,$30.00,$30.00
10113,9/13/23,9/13/23,1,$25.00,$25.00
10119,2/19/24,2/19/24,1,$5.00,$5.00
10130,7/1/23,7/1/23,1,$10.00,$10.00
10135,2/19/24,2/19/24,1,$5.00,$5.00
10137,5/8/24,5/8/24,1,$10.00,$10.00
10147,9/30/23,9/30/23,1,$25.00,$25.00
10152,12/12/23,12/12/23,1,"$20,000.00","$20,000.00"
10169,12/19/23,12/19/23,1,"$1,500.00","$1,500.00"
1020094,4/18/24,4/18/24,1,$100.00,$100.00
10202,1/6/24,1/6/24,1,$5.00,$5.00
10205,7/1/23,7/1/23,1,$5.00,$5.00
10260,8/28/23,8/28/23,1,$5.00,$5.00
10272,5/4/20,5/4/20,1,$50.00,$50.00
10279,11/17/19,11/17/19,1,$250.00,$250.00
1030000,11/9/23,11/9/23,1,$20.00,$20.00
10407,3/21/24,3/21/24,1,$10.00,$10.00
10517,10/16/18,10/16/18,1,$10.00,$10.00
10519,3/27/20,3/27/20,1,$25.00,$25.00
10537,5/10/20,5/10/20,1,$50.00,$50.00
10551,12/15/20,12/15/20,1,$50.00,$50.00
10578,12/31/23,12/31/23,1,$100.00,$100.00
106-0032,12/15/20,12/15/20,1,$50.00,$50.00
10619,3/5/24,3/5/24,1,$5.00,$5.00
1064 KS,3/11/24,3/11/24,1,$6.00,$6.00
1068,11/28/23,11/28/23,1,$50.00,$50.00
10695,3/8/24,3/8/24,1,$10.00,$10.00
10702,9/16/20,9/16/20,1,$60.00,$60.00
1083,12/1/23,12/1/23,1,$25.00,$25.00
10902,6/3/23,6/3/23,1,$25.00,$25.00
1092,3/29/20,3/29/20,1,$75.00,$75.00
10928,4/21/24,4/21/24,1,$20.00,$20.00
10959,1/7/19,1/7/19,1,$100.00,$100.00
10986,10/29/23,10/29/23,1,$20.00,$20.00
10998,4/15/20,4/15/20,1,$100.00,$100.00
1100,10/1/23,10/1/23,1,$10.00,$10.00
11000,12/5/23,12/5/23,1,$25.00,$25.00
11006,10/28/23,10/28/23,1,$10.00,$10.00
11016,4/27/24,4/27/24,1,$17.00,$17.00
1105,11/20/23,11/20/23,1,$5.00,$5.00
11116,12/27/23,12/27/23,1,$10.00,$10.00
1120,11/28/23,11/28/23,1,$50.00,$50.00
11200,12/9/23,12/9/23,1,$5.00,$5.00
11218-4904,9/12/23,9/12/23,1,$10.00,$10.00
11301,10/28/23,10/28/23,1,$5.00,$5.00
11401,4/28/24,4/28/24,1,$25.00,$25.00
11404,8/5/23,8/5/23,1,$5.00,$5.00
115,10/9/23,10/9/23,1,$9.50,$9.50
11503,9/30/23,9/30/23,1,$57.00,$57.00
11504,10/28/23,10/28/23,1,$5.00,$5.00
11515,4/30/24,4/30/24,1,$10.00,$10.00
11548,3/29/20,3/29/20,1,$10.00,$10.00
11739,12/31/23,12/31/23,1,$100.00,$100.00
11765,11/22/20,11/22/20,1,"$1,000.00","$1,000.00"
11807,2/29/24,2/29/24,1,$10.00,$10.00
11904,6/3/23,6/3/23,1,$10.00,$10.00
11905,4/6/24,4/6/24,1,$5.00,$5.00
11939,10/30/23,10/30/23,1,$50.00,$50.00
11957,7/8/20,7/8/20,1,$100.00,$100.00
12028,12/12/23,12/12/23,1,$50.00,$50.00
12052,12/15/20,12/15/20,1,$50.00,$50.00
12053,12/31/18,12/31/18,1,$100.00,$100.00
12059,12/5/20,12/5/20,1,$25.00,$25.00
12076,5/8/20,5/8/20,1,$50.00,$50.00
12092,11/19/07,11/19/07,1,$20.00,$20.00
12093,12/31/23,12/31/23,1,$50.00,$50.00
1210,4/13/24,4/13/24,1,$5.00,$5.00
12101,10/29/23,10/29/23,1,$15.00,$15.00
12115,11/25/21,11/25/21,1,$150.00,$150.00
12117,12/1/23,12/1/23,1,$25.00,$25.00
12140,7/17/23,7/17/23,1,$40.00,$40.00
12143,8/15/23,8/15/23,1,$50.00,$50.00
12147,5/4/20,5/4/20,1,$50.00,$50.00
12149,4/2/20,4/2/20,1,$5.00,$5.00
12169,3/29/20,3/29/20,1,$10.00,$10.00
12175,3/25/20,3/25/20,1,$500.00,$500.00
12419,12/31/23,12/31/23,1,$15.00,$15.00
12420,12/21/23,12/21/23,1,$25.00,$25.00
12432,5/8/20,5/8/20,1,$20.00,$20.00
12436,1/13/23,1/13/23,1,$25.00,$25.00
12438,12/28/23,12/28/23,1,$100.00,$100.00
1245,4/30/20,4/30/20,1,$50.00,$50.00
12450,4/30/20,4/30/20,1,$25.00,$25.00
12451,5/10/20,5/10/20,1,$25.00,$25.00
12454,11/30/23,11/30/23,1,$50.00,$50.00
12458,5/15/24,5/15/24,1,$25.00,$25.00
12464,3/16/20,3/16/20,1,$50.00,$50.00
12470,3/28/20,3/28/20,1,$25.00,$25.00
12471,12/5/20,12/5/20,1,$100.00,$100.00
12472,2/28/21,2/28/21,1,$25.00,$25.00
12496,10/28/23,10/28/23,1,$50.00,$50.00
12503,11/19/23,11/19/23,1,$25.00,$25.00
12575,10/28/23,10/28/23,1,$20.00,$20.00
12585,2/1/24,2/1/24,1,$25.00,$25.00
12592,4/30/20,4/30/20,1,$25.00,$25.00
1260,12/23/08,12/23/08,1,$50.00,$50.00
1270,10/20/23,10/20/23,1,$10.00,$10.00
12732,8/19/20,8/19/20,1,$500.00,$500.00
12738,4/6/24,4/6/24,1,$20.00,$20.00
12758,3/29/20,3/29/20,1,$25.00,$25.00
12766,11/22/20,11/22/20,1,$50.00,$50.00
12776,11/22/17,11/22/17,1,$25.00,$25.00
12820,3/16/24,3/16/24,1,$100.00,$100.00
12846,12/14/20,12/14/20,1,$25.00,$25.00
12853,4/21/20,4/21/20,1,$50.00,$50.00
12865,3/7/24,3/7/24,1,$35.00,$35.00
12873,12/21/20,12/21/20,1,$100.00,$100.00
12878,12/26/23,12/26/23,1,$50.00,$50.00
12884,4/12/20,4/12/20,1,$25.00,$25.00
12910,6/12/23,6/12/23,1,$50.00,$50.00
12945,12/29/23,12/29/23,1,$250.00,$250.00
12958,11/14/21,11/14/21,1,$20.00,$20.00
12993,11/28/23,11/28/23,1,"$1,000.00","$1,000.00"
13036,12/22/23,12/22/23,1,$25.00,$25.00
13040,8/11/23,8/11/23,1,$10.00,$10.00
13051,8/24/23,8/24/23,1,$20.00,$20.00
13062,12/4/20,12/4/20,1,$300.00,$300.00
13063,12/1/23,12/1/23,1,$50.00,$50.00
13074,3/30/24,3/30/24,1,$25.00,$25.00
13080,11/27/21,11/27/21,1,$50.00,$50.00
13081,4/15/20,4/15/20,1,$250.00,$250.00
13084,3/2/18,3/2/18,1,$20.00,$20.00
13143,12/24/11,12/24/11,1,$500.00,$500.00
13244,11/4/23,11/4/23,1,$20.00,$20.00
13302,7/10/23,7/10/23,1,$250.00,$250.00
13304,3/29/20,3/29/20,1,$50.00,$50.00
13327,12/15/20,12/15/20,1,$50.00,$50.00
13338,10/22/20,10/22/20,1,$100.00,$100.00
13340,6/28/20,6/28/20,1,$25.00,$25.00
13343,9/7/17,9/7/17,1,$250.00,$250.00
13353,9/29/23,9/29/23,1,$50.00,$50.00
13409,8/23/20,8/23/20,1,$50.00,$50.00
13420,10/31/23,10/31/23,1,$100.00,$100.00
13435,3/15/24,3/15/24,1,$100.00,$100.00
13456,1/6/21,1/6/21,1,$100.00,$100.00
13459,2/21/13,2/21/13,1,$25.00,$25.00
13470,5/1/20,5/1/20,1,$25.00,$25.00
13476,4/9/20,4/9/20,1,$100.00,$100.00
1349,1/2/21,1/2/21,1,$27.00,$27.00
13490,11/21/20,11/21/20,1,$100.00,$100.00
13495,12/30/09,12/30/09,1,$50.00,$50.00
1360,12/12/23,12/12/23,1,$15.00,$15.00
13602,10/14/23,10/14/23,1,$10.00,$10.00
